time[s];Vsg[mV];pH/ion concentration [mM]
1125.22;2337.25;-3.310
1130.20;2337.20;-3.310
1135.18;2337.30;-3.310
1140.18;2337.30;-3.310
1145.17;2337.40;-3.310
1150.15;2337.30;-3.310
1155.13;2337.25;-3.310
1160.11;2337.30;-3.310
1165.10;2337.15;-3.300
1170.10;2337.40;-3.310
1175.08;2337.25;-3.310
1180.06;2337.50;-3.310
1185.05;2337.45;-3.310
1190.03;2337.50;-3.310
1195.01;2337.50;-3.310
1200.01;2337.35;-3.310
1205.28;2337.80;-3.320
1210.26;2337.45;-3.310
1215.24;2337.50;-3.310
1220.23;2337.35;-3.310
1225.22;2337.35;-3.310
1230.21;2337.60;-3.310
1235.19;2337.55;-3.310
1240.17;2337.40;-3.310
1245.16;2337.65;-3.310
1250.14;2337.65;-3.310
1255.13;2337.45;-3.310
1260.12;2337.55;-3.310
1265.08;2337.60;-3.310
1270.03;2337.65;-3.310
1275.01;2337.75;-3.320
1280.60;2337.63;-3.310
1285.59;2337.55;-3.310
1290.57;2334.67;-3.260
1295.56;2337.56;-3.310
1300.54;2337.60;-3.310
1305.54;2338.28;-3.322
1310.52;2337.56;-3.310
1315.51;2337.38;-3.306
1320.49;2337.91;-3.318
1325.47;2337.86;-3.316
1330.47;2337.75;-3.320
1335.46;2337.58;-3.310
1340.44;2337.66;-3.310
1345.42;2337.70;-3.310
1350.41;2337.55;-3.310
1355.39;2337.63;-3.310
1360.37;2337.62;-3.310
1365.37;2337.60;-3.310
1370.35;2337.65;-3.310
1375.34;2338.32;-3.326
1380.32;2337.69;-3.314
1385.32;2335.99;-3.284
1390.30;2337.52;-3.310
1395.28;2337.58;-3.310
1400.27;2337.33;-3.306
1405.25;2337.35;-3.310
1410.25;2337.29;-3.304
1415.18;2337.48;-3.310
1420.16;2338.32;-3.322
1425.39;2337.35;-3.310
1430.36;2341.25;-3.380
1435.35;2316.70;-2.950
1440.34;2339.60;-3.350
1445.32;2345.20;-3.450
1450.30;2333.30;-3.240
1455.29;2336.30;-3.290
1460.28;2336.75;-3.300
1465.27;2337.10;-3.300
1470.26;2336.95;-3.300
1475.24;2337.35;-3.310
1480.23;2337.30;-3.310
1485.21;2334.30;-3.250
1490.20;2335.90;-3.280
1495.19;2337.75;-3.320
1500.17;2338.85;-3.330
1505.16;2338.75;-3.330
1510.14;2338.60;-3.330
1515.13;2339.00;-3.340
1520.12;2339.20;-3.340
1525.10;2339.30;-3.340
1530.09;2339.55;-3.350
1535.08;2339.55;-3.350
1540.06;2339.10;-3.340
1545.28;2338.65;-3.330
1550.25;2338.40;-3.330
1555.23;2338.60;-3.330
1560.22;2338.95;-3.340
1565.21;2338.40;-3.330
1570.20;2338.20;-3.320
1575.15;2338.25;-3.320
1580.12;2338.00;-3.320
1585.10;2337.90;-3.320
1590.08;2337.70;-3.310
1595.07;2338.10;-3.320
1600.03;2337.95;-3.320
1605.28;2337.85;-3.320
1610.26;2338.05;-3.320
1615.24;2338.10;-3.320
1620.22;2337.70;-3.310
1625.22;2338.50;-3.330
1630.21;2338.20;-3.320
1635.14;2338.25;-3.320
1640.13;2338.05;-3.320
1645.12;2337.95;-3.320
1650.10;2338.20;-3.320
1655.09;2338.35;-3.330
1660.07;2338.05;-3.320
1665.06;2337.85;-3.320
1670.05;2338.00;-3.320
1675.03;2337.55;-3.310
1680.02;2338.40;-3.330
1685.57;2338.36;-3.324
1690.49;2338.60;-3.330
1695.43;2338.42;-3.330
1700.39;2338.44;-3.330
1705.38;2338.36;-3.330
1710.37;2338.48;-3.330
1715.35;2338.55;-3.330
1720.34;2338.29;-3.328
1725.33;2338.39;-3.330
1730.54;2338.40;-3.330
1735.52;2338.30;-3.320
1740.51;2338.40;-3.330
1745.50;2338.35;-3.330
1750.48;2338.20;-3.320
1755.47;2338.30;-3.320
1760.46;2338.50;-3.330
1765.40;2338.49;-3.330
1770.37;2338.48;-3.330
1775.36;2338.41;-3.328
1780.34;2338.19;-3.320
1785.33;2338.77;-3.336
1790.32;2338.63;-3.330
1795.26;2338.44;-3.330
1800.23;2339.09;-3.336
1805.22;2338.40;-3.324
1810.20;2338.30;-3.320
1815.19;2338.38;-3.330
1820.16;2338.27;-3.320
1825.08;2338.34;-3.328
1830.28;2338.50;-3.330
1835.25;2338.20;-3.320
1840.24;2338.35;-3.330
1845.22;2338.40;-3.330
1850.15;2337.61;-3.312
1855.14;2337.98;-3.324
1860.13;2338.00;-3.320
1865.11;2338.05;-3.320
1870.10;2338.04;-3.320
1875.09;2338.38;-3.328
1880.06;2337.92;-3.320
1885.00;2338.09;-3.320
1890.27;2337.80;-3.320
1895.26;2337.90;-3.320
1900.24;2338.10;-3.320
1905.23;2337.95;-3.320
1910.22;2337.80;-3.320
1915.20;2337.85;-3.320
1920.19;2337.95;-3.320
1925.18;2337.85;-3.320
1930.16;2337.80;-3.320
1935.15;2337.90;-3.320
1940.14;2337.80;-3.320
1945.12;2337.80;-3.320
1950.11;2337.80;-3.320
1955.09;2338.15;-3.320
1960.08;2338.05;-3.320
1965.07;2337.85;-3.320
1970.05;2337.90;-3.320
1975.04;2338.15;-3.320
1980.02;2340.95;-3.370
1985.28;2337.95;-3.320
1990.22;2337.90;-3.320
1995.21;2337.90;-3.320
2000.20;2337.85;-3.320
2005.14;2337.60;-3.310
2010.11;2337.45;-3.310
2015.10;2338.10;-3.320
2020.09;2337.70;-3.310
2025.07;2337.65;-3.310
2030.06;2337.85;-3.320
2035.05;2337.65;-3.310
2040.03;2337.95;-3.320
2045.02;2337.95;-3.320
2050.00;2338.15;-3.320
2055.59;2338.02;-3.320
2060.58;2338.00;-3.320
2065.56;2338.08;-3.320
2070.55;2337.95;-3.320
2075.53;2337.83;-3.320
2080.52;2337.94;-3.320
2085.51;2337.88;-3.320
2090.49;2337.97;-3.320
2095.48;2337.86;-3.320
2100.47;2337.95;-3.320
2105.45;2337.74;-3.318
2110.44;2337.97;-3.320
2115.43;2338.18;-3.320
2120.41;2338.00;-3.320
2125.40;2337.94;-3.320
2130.39;2337.92;-3.320
2135.37;2337.75;-3.312
2140.36;2338.03;-3.320
2145.29;2337.84;-3.320
2150.27;2337.98;-3.320
2155.26;2337.91;-3.320
2160.25;2337.91;-3.320
2165.23;2337.97;-3.320
2170.22;2337.87;-3.320
2175.21;2337.90;-3.320
2180.19;2337.71;-3.316
2185.18;2337.77;-3.320
2190.17;2337.68;-3.310
2195.15;2338.90;-3.334
2200.14;2337.70;-3.316
2205.13;2337.91;-3.316
2210.11;2337.11;-3.306
2215.10;2337.81;-3.320
2220.08;2337.89;-3.320
2225.07;2337.21;-3.308
2230.06;2337.77;-3.320
2235.04;2338.05;-3.324
2240.03;2337.80;-3.316
2245.02;2338.00;-3.316
2250.00;2338.52;-3.328
2255.27;2337.95;-3.320
2260.26;2337.85;-3.320
2265.25;2337.85;-3.320
2270.23;2338.35;-3.330
2275.17;2337.55;-3.310
2280.15;2337.80;-3.320
2285.14;2337.80;-3.320
2290.12;2337.70;-3.310
2295.11;2337.75;-3.320
2300.10;2338.00;-3.320
2305.08;2337.90;-3.320
2310.07;2338.10;-3.320
2315.05;2337.80;-3.320
2320.04;2337.80;-3.320
2325.03;2337.95;-3.320
2330.01;2338.05;-3.320
2335.28;2337.80;-3.320
2340.27;2337.95;-3.320
2345.25;2337.80;-3.320
2350.24;2338.10;-3.320
2355.23;2337.75;-3.320
2360.22;2337.75;-3.320
2365.20;2337.80;-3.320
2370.19;2337.85;-3.320
2375.17;2337.85;-3.320
2380.16;2338.00;-3.320
2385.15;2338.05;-3.320
2390.14;2337.90;-3.320
2395.12;2338.00;-3.320
2400.11;2337.95;-3.320
2405.09;2337.75;-3.320
2410.08;2338.00;-3.320
2415.07;2337.95;-3.320
2420.05;2337.85;-3.320
2425.04;2337.70;-3.310
2430.02;2338.10;-3.320
2435.01;2337.80;-3.320
2440.60;2337.60;-3.310
2445.58;2337.90;-3.320
2450.57;2338.15;-3.320
2455.56;2337.90;-3.320
2460.54;2337.95;-3.320
