time[s];Vsg[mV];pH/ion concentration [mM]
995.20;2340.50;-3.360
1000.13;2340.40;-3.360
1005.11;2340.15;-3.360
1010.10;2340.20;-3.360
1015.08;2340.15;-3.360
1020.07;2340.15;-3.360
1025.05;2340.40;-3.360
1030.04;2340.40;-3.360
1035.03;2340.50;-3.360
1040.01;2340.05;-3.350
1045.57;2339.99;-3.350
1050.53;2339.96;-3.350
1055.47;2339.05;-3.338
1060.44;2326.80;-3.120
1065.38;2356.43;-3.642
1070.35;2349.00;-3.512
1075.34;2331.12;-3.196
1080.32;2334.38;-3.252
1085.31;2368.54;-3.856
1090.29;2336.07;-3.282
1095.28;2340.61;-3.366
1100.26;2340.15;-3.360
1105.19;2340.08;-3.352
1110.44;2339.85;-3.350
1115.39;2339.85;-3.350
1120.38;2339.85;-3.350
1125.36;2339.50;-3.340
1130.34;2339.65;-3.350
1135.33;2339.70;-3.350
1140.31;2339.70;-3.350
1145.30;2339.55;-3.350
1150.29;2339.65;-3.350
1155.27;2339.70;-3.350
1160.26;2339.65;-3.350
1165.24;2339.65;-3.350
1170.22;2339.45;-3.340
1175.21;2343.25;-3.410
1180.16;2343.29;-3.412
1185.13;2343.17;-3.410
1190.11;2342.98;-3.408
1195.09;2342.70;-3.402
1200.08;2343.16;-3.408
1205.06;2343.07;-3.410
1210.05;2343.42;-3.418
1215.04;2343.39;-3.418
1220.02;2343.27;-3.412
1225.26;2342.85;-3.400
1230.21;2342.80;-3.400
1235.20;2341.15;-3.370
1240.19;2340.75;-3.370
1245.17;2340.65;-3.370
1250.10;2340.55;-3.360
1255.09;2340.40;-3.360
1260.07;2340.40;-3.360
1265.02;2340.20;-3.360
1270.27;2340.30;-3.360
1275.26;2340.20;-3.360
1280.24;2340.05;-3.350
1285.23;2340.15;-3.360
1290.21;2339.90;-3.350
1295.19;2340.15;-3.360
1300.18;2339.80;-3.350
1305.17;2340.00;-3.350
1310.13;2339.75;-3.350
1315.08;2339.55;-3.350
1320.06;2339.55;-3.350
1325.05;2339.60;-3.350
1330.04;2339.55;-3.350
1335.02;2339.20;-3.340
1340.01;2339.45;-3.340
1345.59;2339.26;-3.340
1350.57;2339.19;-3.340
1355.51;2339.12;-3.340
1360.49;2339.11;-3.340
1365.42;2339.15;-3.340
1370.07;2339.05;-3.340
1375.01;2339.10;-3.340
1380.60;2339.05;-3.340
1385.59;2338.90;-3.330
1390.57;2338.75;-3.330
1395.56;2338.85;-3.330
1400.54;2338.65;-3.330
1405.53;2339.00;-3.340
1410.51;2338.70;-3.330
1415.50;2338.70;-3.330
1420.48;2338.85;-3.330
1425.41;2338.65;-3.330
1430.40;2338.59;-3.330
1435.38;2338.62;-3.330
1440.36;2336.97;-3.302
1445.34;2338.60;-3.330
1450.32;2338.61;-3.330
1455.31;2338.33;-3.322
1460.31;2338.44;-3.330
1465.24;2338.73;-3.330
1470.21;2338.51;-3.330
1475.19;2338.44;-3.326
1480.19;2338.34;-3.324
1485.13;2338.10;-3.320
1490.09;2338.21;-3.320
1495.09;2338.43;-3.330
1500.08;2338.33;-3.320
1505.06;2338.38;-3.326
1510.05;2341.51;-3.376
1515.04;2337.92;-3.320
1520.02;2334.07;-3.248
1525.25;2339.60;-3.350
1530.22;2336.80;-3.300
1535.19;2333.05;-3.230
1540.19;2337.80;-3.320
1545.18;2337.85;-3.320
1550.16;2337.40;-3.310
1555.14;2338.35;-3.320
1560.13;2339.15;-3.340
1565.11;2340.90;-3.370
1570.10;2341.00;-3.370
1575.08;2341.25;-3.380
1580.07;2341.50;-3.380
1585.28;2341.35;-3.380
1590.22;2341.45;-3.380
1595.19;2341.45;-3.380
1600.15;2341.60;-3.380
1605.11;2341.20;-3.370
1610.08;2339.75;-3.350
1615.08;2339.25;-3.340
1620.06;2339.30;-3.340
1625.05;2339.25;-3.340
1630.03;2339.15;-3.340
1635.27;2338.95;-3.340
1640.22;2338.15;-3.320
1645.21;2340.05;-3.350
1650.20;2337.90;-3.320
1655.19;2338.90;-3.330
1660.17;2339.30;-3.340
1665.16;2338.50;-3.330
1670.14;2338.35;-3.320
1675.13;2338.55;-3.330
1680.11;2338.40;-3.330
1685.09;2338.35;-3.320
1690.08;2338.35;-3.320
1695.06;2339.10;-3.340
1700.04;2338.50;-3.330
1705.03;2338.25;-3.320
1710.56;2338.30;-3.320
1715.55;2338.14;-3.320
1720.53;2337.91;-3.320
1725.51;2337.95;-3.320
1730.51;2337.94;-3.320
1735.49;2338.14;-3.320
1740.48;2338.29;-3.328
1745.46;2338.23;-3.320
1750.44;2337.99;-3.320
1755.43;2337.83;-3.320
1760.41;2338.32;-3.324
1765.39;2337.76;-3.312
1770.39;2337.72;-3.312
1775.38;2337.77;-3.312
1780.36;2337.78;-3.318
1785.34;2337.57;-3.310
1790.33;2337.79;-3.312
1795.26;2337.59;-3.310
1800.23;2337.85;-3.320
1805.23;2337.78;-3.316
1810.20;2337.62;-3.310
1815.17;2337.45;-3.310
1820.12;2337.67;-3.310
1825.10;2337.72;-3.310
1830.09;2337.46;-3.310
1835.07;2337.46;-3.310
1840.07;2337.58;-3.310
1845.05;2337.38;-3.310
1850.04;2337.53;-3.314
1855.03;2337.33;-3.310
1860.01;2340.55;-3.362
1865.28;2326.55;-3.120
1870.26;2315.60;-2.930
1875.25;2330.20;-3.180
1880.23;2333.95;-3.250
1885.22;2334.90;-3.260
1890.20;2331.20;-3.200
1895.19;2334.10;-3.250
1900.18;2336.70;-3.300
1905.16;2338.55;-3.330
1910.15;2339.40;-3.340
1915.13;2338.95;-3.340
1920.11;2340.15;-3.360
1925.07;2339.40;-3.340
1930.03;2340.05;-3.350
1935.01;2340.00;-3.350
1940.26;2340.10;-3.360
1945.21;2339.50;-3.340
1950.20;2338.35;-3.320
1955.18;2338.10;-3.320
1960.17;2338.00;-3.320
1965.15;2337.75;-3.310
1970.12;2337.55;-3.310
1975.07;2337.40;-3.310
1980.05;2337.60;-3.310
1985.02;2337.50;-3.310
1990.02;2337.30;-3.310
1995.00;2337.35;-3.310
2000.58;2337.28;-3.310
2005.57;2337.18;-3.304
2010.56;2337.08;-3.300
2015.55;2337.12;-3.304
2020.53;2337.04;-3.300
2025.51;2337.13;-3.300
2030.50;2337.07;-3.300
2035.49;2336.90;-3.300
2040.47;2337.09;-3.306
2045.45;2337.02;-3.300
2050.43;2337.01;-3.300
2055.37;2337.02;-3.300
2060.36;2336.95;-3.300
2065.35;2336.98;-3.300
2070.32;2336.98;-3.300
2075.31;2336.86;-3.300
2080.29;2336.86;-3.300
2085.27;2336.80;-3.300
2090.27;2336.51;-3.292
2095.26;2336.65;-3.290
2100.24;2336.65;-3.290
2105.23;2336.62;-3.290
2110.21;2336.65;-3.290
2115.20;2336.51;-3.290
2120.18;2336.56;-3.290
2125.17;2336.73;-3.298
2130.15;2336.66;-3.292
2135.14;2336.56;-3.290
2140.12;2336.28;-3.290
2145.11;2336.61;-3.290
2150.09;2336.76;-3.300
2155.08;2336.50;-3.292
2160.06;2336.56;-3.290
2165.05;2336.73;-3.294
2170.03;2336.40;-3.292
2175.02;2336.42;-3.290
2180.00;2336.30;-3.290
2185.27;2336.30;-3.290
2190.26;2314.75;-2.910
2195.24;2334.10;-3.250
2200.23;2318.45;-2.980
2205.21;2330.50;-3.190
2210.19;2333.20;-3.230
2215.18;2334.10;-3.250
2220.17;2334.70;-3.260
2225.15;2332.05;-3.210
2230.14;2335.10;-3.270
2235.09;2336.20;-3.290
2240.04;2337.85;-3.312
2245.26;2338.65;-3.330
2250.25;2338.25;-3.320
