time[s];Vsg[mV];pH/ion concentration [mM]
1125.17;2367.54;-3.840
1130.15;2367.53;-3.840
1135.14;2367.82;-3.850
1140.13;2367.75;-3.840
1145.06;2367.72;-3.840
1150.04;2367.83;-3.844
1155.03;2368.12;-3.850
1160.02;2368.09;-3.850
1165.00;2368.07;-3.850
1170.27;2368.30;-3.850
1175.26;2368.25;-3.850
1180.21;2368.40;-3.860
1185.18;2368.65;-3.860
1190.17;2368.55;-3.860
1195.15;2368.55;-3.860
1200.14;2368.55;-3.860
1205.12;2368.60;-3.860
1210.11;2368.70;-3.860
1215.09;2368.70;-3.860
1220.08;2368.75;-3.860
1225.07;2368.60;-3.860
1230.06;2368.90;-3.870
1235.04;2369.10;-3.870
1240.03;2369.25;-3.870
1245.01;2369.30;-3.870
1250.00;2369.15;-3.870
1255.27;2369.35;-3.870
1260.26;2369.40;-3.870
1265.24;2369.15;-3.870
1270.23;2369.45;-3.870
1275.21;2369.00;-3.870
1280.20;2369.50;-3.880
1285.19;2373.00;-3.940
1290.17;2231.50;-1.450
1295.16;2370.00;-3.880
1300.12;2374.50;-3.960
1305.08;2370.90;-3.900
1310.06;2373.30;-3.940
1315.60;2359.80;-3.704
1320.59;2365.79;-3.812
1325.52;2368.31;-3.852
1330.50;2370.38;-3.892
1335.49;2370.72;-3.900
1340.47;2372.17;-3.926
1345.46;2370.95;-3.906
1350.45;2371.71;-3.918
1355.43;2371.56;-3.910
1360.42;2372.09;-3.920
1365.41;2371.85;-3.920
1370.39;2372.45;-3.930
1375.38;2372.42;-3.930
1380.37;2372.86;-3.938
1385.35;2371.91;-3.920
1390.34;2371.94;-3.920
1395.33;2371.85;-3.920
1400.31;2371.75;-3.918
1405.30;2371.78;-3.920
1410.28;2371.81;-3.920
1415.27;2371.84;-3.920
1420.26;2372.17;-3.920
1425.24;2371.98;-3.920
1430.23;2371.96;-3.920
1435.22;2372.22;-3.920
1440.20;2372.26;-3.922
1445.19;2372.30;-3.928
1450.18;2372.36;-3.930
1455.16;2372.44;-3.930
1460.15;2372.38;-3.928
1465.14;2372.44;-3.930
1470.12;2372.34;-3.928
1475.11;2372.51;-3.930
1480.09;2372.62;-3.930
1485.08;2372.64;-3.930
1490.07;2372.89;-3.938
1495.06;2372.84;-3.930
1500.04;2372.79;-3.930
1505.03;2372.97;-3.940
1510.01;2372.98;-3.940
1515.28;2372.90;-3.940
1520.27;2373.25;-3.940
1525.26;2373.35;-3.940
1530.24;2373.40;-3.940
1535.23;2373.10;-3.940
1540.21;2373.35;-3.940
1545.20;2373.40;-3.940
1550.19;2373.45;-3.940
1555.18;2373.60;-3.950
1560.16;2373.65;-3.950
1565.15;2373.55;-3.950
1570.13;2373.55;-3.950
1575.12;2373.80;-3.950
1580.08;2373.85;-3.950
1585.04;2373.95;-3.950
1590.02;2373.95;-3.950
1595.01;2373.95;-3.950
1600.28;2374.05;-3.960
1605.27;2374.05;-3.960
1610.25;2374.15;-3.960
1615.24;2374.20;-3.960
1620.22;2374.05;-3.960
1625.21;2374.15;-3.960
1630.20;2374.35;-3.960
1635.18;2374.50;-3.960
1640.17;2374.35;-3.960
1645.16;2374.55;-3.960
1650.14;2374.35;-3.960
1655.13;2374.60;-3.970
1660.12;2374.60;-3.970
1665.10;2374.60;-3.970
1670.09;2374.55;-3.960
1675.07;2374.70;-3.970
1680.06;2374.90;-3.970
1685.03;2374.70;-3.970
1690.58;2374.84;-3.970
1695.56;2374.86;-3.970
1700.55;2375.03;-3.970
1705.53;2374.89;-3.970
1710.52;2374.98;-3.970
1715.51;2375.19;-3.974
1720.49;2375.00;-3.970
1725.48;2375.04;-3.970
1730.47;2375.12;-3.976
1735.45;2375.29;-3.980
1740.44;2375.24;-3.976
1745.02;2375.45;-3.980
1750.58;2375.30;-3.980
1755.57;2375.40;-3.980
1760.55;2375.70;-3.980
1765.54;2375.40;-3.980
1770.53;2375.30;-3.980
1775.51;2375.45;-3.980
1780.46;2375.59;-3.980
1785.43;2375.28;-3.980
1790.42;2375.67;-3.980
1795.40;2375.64;-3.980
1800.39;2375.65;-3.980
1805.37;2375.63;-3.982
1810.36;2375.82;-3.990
1815.34;2375.72;-3.982
1820.33;2375.82;-3.990
1825.32;2376.05;-3.990
1830.30;2375.86;-3.988
1835.29;2376.00;-3.990
1840.28;2375.99;-3.990
1845.26;2376.00;-3.990
1850.25;2376.25;-3.998
1855.23;2376.07;-3.990
1860.22;2376.06;-3.990
1865.20;2376.26;-3.992
1870.19;2376.10;-3.992
1875.18;2376.15;-3.990
1880.16;2376.10;-3.992
1885.15;2376.31;-4.000
1890.13;2376.24;-3.998
1895.12;2376.23;-3.992
1900.10;2376.14;-3.992
1905.09;2376.31;-4.000
1910.07;2376.28;-3.998
1915.06;2376.45;-4.000
1920.05;2376.43;-4.000
1925.03;2375.98;-3.992
1930.02;2376.46;-4.000
1935.01;2373.49;-3.944
1940.27;2376.85;-4.000
1945.26;2367.50;-3.840
1950.19;2369.85;-3.880
1955.15;2375.70;-3.980
1960.10;2373.35;-3.940
1965.05;2375.60;-3.980
1970.02;2376.10;-3.990
1975.01;2377.55;-4.020
1980.27;2378.45;-4.030
1985.26;2378.05;-4.030
1990.20;2378.30;-4.030
1995.18;2378.50;-4.030
2000.16;2378.70;-4.040
2005.15;2378.95;-4.040
2010.13;2379.65;-4.050
2015.12;2378.90;-4.040
2020.10;2378.85;-4.040
2025.09;2378.00;-4.020
2030.07;2378.00;-4.020
2035.06;2377.85;-4.020
2040.05;2377.90;-4.020
2045.03;2378.05;-4.030
2050.02;2378.05;-4.030
2055.00;2378.15;-4.030
2060.59;2378.17;-4.030
2065.58;2377.92;-4.024
2070.56;2378.35;-4.030
2075.55;2378.21;-4.030
2080.53;2378.13;-4.030
2085.52;2378.27;-4.030
2090.51;2378.13;-4.030
2095.49;2378.14;-4.024
2100.48;2378.27;-4.030
2105.46;2378.67;-4.036
2110.45;2378.38;-4.030
2115.44;2378.25;-4.030
2120.42;2378.55;-4.034
2125.41;2378.51;-4.030
2130.40;2378.52;-4.030
2135.38;2378.59;-4.036
2140.37;2378.67;-4.040
2145.35;2378.69;-4.040
2150.34;2378.80;-4.040
2155.33;2378.89;-4.040
2160.31;2378.93;-4.040
2165.30;2378.73;-4.040
2170.28;2378.89;-4.040
2175.27;2378.94;-4.040
2180.26;2379.00;-4.040
2185.24;2378.96;-4.040
2190.23;2379.00;-4.040
2195.22;2379.05;-4.040
2200.20;2378.92;-4.040
2205.19;2379.13;-4.044
2210.18;2379.12;-4.040
2215.16;2379.21;-4.044
2220.15;2379.26;-4.050
2225.13;2379.10;-4.040
2230.12;2379.04;-4.040
2235.11;2379.30;-4.050
2240.09;2379.29;-4.050
2245.08;2379.14;-4.044
2250.06;2379.33;-4.050
2255.05;2379.31;-4.050
2260.04;2379.33;-4.050
2265.26;2379.50;-4.050
2270.24;2379.60;-4.050
2275.23;2379.70;-4.050
2280.21;2379.65;-4.050
2285.19;2379.50;-4.050
2290.18;2379.50;-4.050
2295.17;2379.75;-4.060
2300.15;2379.45;-4.050
2305.14;2379.80;-4.060
2310.13;2379.90;-4.060
2315.11;2380.00;-4.060
2320.10;2379.80;-4.060
2325.08;2379.95;-4.060
2330.07;2379.80;-4.060
2335.06;2379.80;-4.060
2340.04;2379.90;-4.060
2345.03;2379.65;-4.050
2350.01;2380.05;-4.060
2355.28;2380.00;-4.060
2360.27;2379.90;-4.060
2365.26;2379.95;-4.060
2370.24;2380.00;-4.060
2375.23;2380.05;-4.060
2380.21;2380.05;-4.060
2385.20;2379.95;-4.060
2390.19;2380.05;-4.060
2395.18;2380.20;-4.060
2400.16;2380.15;-4.060
2405.15;2380.20;-4.060
2410.13;2380.05;-4.060
2415.12;2380.00;-4.060
2420.11;2380.00;-4.060
2425.09;2380.10;-4.060
2430.08;2380.25;-4.060
2435.06;2380.15;-4.060
2440.05;2380.05;-4.060
2445.04;2380.05;-4.060
2450.02;2380.15;-4.060
2455.01;2380.40;-4.070
2460.60;2380.35;-4.070
2465.53;2380.19;-4.060
2470.51;2380.30;-4.068
2475.50;2380.34;-4.070
2480.47;2380.42;-4.070
2485.42;2380.37;-4.064
2490.40;2380.38;-4.070
2495.39;2380.35;-4.064
2500.38;2380.45;-4.070
2505.36;2380.46;-4.070
2510.35;2380.36;-4.070
2515.33;2380.40;-4.070
2520.32;2380.58;-4.070
2525.31;2380.52;-4.070
2530.29;2381.77;-4.088
2535.28;2380.41;-4.066
2540.27;2380.43;-4.070
2545.25;2380.56;-4.070
2550.24;2380.71;-4.074
2555.23;2392.16;-4.272
2560.17;2381.28;-4.084
2565.14;2370.08;-3.884
2570.13;2381.05;-4.078
2575.11;2323.74;-3.074
2580.10;2379.85;-4.060
2585.09;2380.31;-4.064
2590.07;2380.39;-4.070
2595.06;2377.88;-4.024
2600.05;2379.62;-4.054
2605.03;2381.28;-4.080
2610.02;2382.75;-4.106
2615.01;2382.03;-4.096
2620.27;2382.05;-4.100
2625.26;2382.55;-4.100
2630.25;2382.30;-4.100
2635.24;2382.20;-4.100
2640.22;2382.55;-4.100
2645.21;2382.45;-4.100
2650.20;2382.35;-4.100
2655.18;2382.30;-4.100
2660.17;2381.70;-4.090
2665.15;2381.65;-4.090
2670.14;2381.55;-4.090
2675.13;2381.75;-4.090
2680.11;2381.50;-4.090
2685.10;2381.45;-4.090
2690.09;2381.55;-4.090
2695.07;2381.40;-4.080
2700.06;2381.75;-4.090
2705.02;2381.30;-4.080
2710.26;2381.45;-4.090
2715.25;2381.55;-4.090
2720.23;2381.65;-4.090
2725.22;2381.65;-4.090
2730.21;2381.55;-4.090
2735.20;2381.40;-4.080
2740.18;2381.40;-4.080
2745.17;2381.45;-4.090
2750.15;2381.75;-4.090
2755.14;2381.60;-4.090
2760.13;2381.55;-4.090
2765.11;2381.45;-4.090
2770.10;2381.75;-4.090
2775.09;2381.70;-4.090
2780.07;2381.70;-4.090
2785.06;2381.60;-4.090
2790.05;2381.95;-4.090
2795.03;2381.65;-4.090
2800.02;2381.45;-4.090
2805.01;2381.75;-4.090
2810.59;2381.77;-4.090
2815.58;2381.71;-4.090
2820.56;2381.86;-4.090
2825.55;2381.84;-4.090
2830.54;2381.92;-4.090
2835.53;2381.90;-4.090
2840.51;2381.89;-4.090
2845.50;2381.77;-4.092
2850.49;2382.03;-4.098
2855.47;2382.05;-4.098
2860.46;2381.83;-4.090
2865.45;2381.86;-4.090
2870.43;2381.98;-4.092
2875.42;2381.95;-4.090
2880.41;2381.93;-4.090
2885.39;2381.83;-4.090
2890.35;2381.99;-4.094
2895.31;2381.88;-4.090
2900.29;2382.06;-4.096
2905.28;2382.08;-4.100
2910.27;2382.01;-4.096
2915.26;2381.98;-4.094
2920.24;2382.03;-4.096
2925.23;2382.01;-4.094
2930.22;2382.14;-4.100
2935.20;2382.09;-4.096
2940.19;2382.02;-4.094
2945.18;2382.10;-4.100
2950.10;2382.04;-4.094
2955.09;2382.01;-4.094
2960.08;2382.04;-4.094
2965.07;2382.21;-4.100
2970.05;2382.19;-4.100
2975.04;2382.00;-4.096
2980.03;2382.05;-4.100
2985.01;2382.29;-4.100
2990.00;2382.14;-4.100
2995.27;2382.05;-4.100
3000.26;2382.25;-4.100
3005.25;2382.30;-4.100
3010.23;2382.15;-4.100
3015.22;2382.10;-4.100
3020.21;2382.10;-4.100
3025.19;2382.30;-4.100
3030.18;2382.20;-4.100
3035.17;2382.05;-4.100
3040.15;2382.20;-4.100
3045.14;2382.10;-4.100
3050.13;2382.10;-4.100
3055.11;2382.15;-4.100
3060.10;2382.20;-4.100
3065.09;2382.05;-4.100
3070.07;2382.10;-4.100
3075.06;2382.25;-4.100
3080.05;2382.10;-4.100
3085.04;2382.20;-4.100
3090.02;2382.20;-4.100
3095.01;2382.30;-4.100
3100.28;2382.10;-4.100
3105.26;2382.15;-4.100
3110.25;2382.20;-4.100
3115.24;2382.40;-4.100
3120.23;2382.25;-4.100
3125.21;2382.05;-4.100
3130.20;2382.35;-4.100
3135.16;2382.35;-4.100
3140.12;2382.30;-4.100
3145.10;2382.45;-4.100
3150.09;2382.25;-4.100
3155.08;2382.15;-4.100
3160.06;2382.35;-4.100
3165.05;2382.50;-4.100
3170.58;2382.39;-4.100
3175.57;2382.40;-4.100
3180.56;2382.41;-4.100
3185.54;2382.32;-4.100
3190.53;2382.50;-4.100
3195.52;2382.36;-4.100
3200.51;2382.22;-4.100
3205.49;2382.38;-4.100
3210.48;2382.44;-4.100
3215.47;2382.36;-4.100
3220.45;2382.34;-4.100
3225.44;2382.44;-4.100
3230.43;2382.50;-4.100
3235.42;2382.43;-4.100
3240.40;2382.58;-4.110
3245.39;2382.55;-4.110
3250.38;2382.68;-4.110
3255.36;2382.53;-4.106
3260.35;2382.50;-4.100
3265.34;2382.61;-4.110
3270.33;2382.45;-4.104
3275.31;2382.51;-4.104
3280.30;2382.54;-4.106
3285.29;2382.50;-4.100
3290.27;2382.62;-4.106
3295.26;2382.49;-4.104
3300.25;2382.52;-4.104
3305.24;2382.63;-4.110
3310.22;2382.50;-4.100
3315.21;2382.44;-4.100
3320.20;2382.53;-4.106
3325.18;2382.65;-4.110
3330.13;2382.60;-4.110
3335.04;2382.54;-4.102
3340.03;2382.64;-4.110
3345.28;2382.75;-4.110
3350.23;2382.50;-4.100
3355.22;2382.80;-4.110
3360.21;2382.60;-4.110
3365.19;2383.80;-4.130
3370.18;2389.90;-4.230
3375.17;2389.85;-4.230
3380.15;2388.45;-4.210
3385.14;2382.20;-4.100
3390.13;2391.15;-4.260
3395.11;2379.55;-4.050
3400.10;2382.30;-4.100
3405.09;2383.50;-4.120
3410.07;2383.50;-4.120
3415.06;2383.65;-4.120
3420.05;2383.45;-4.120
3425.03;2384.10;-4.130
3430.02;2384.00;-4.130
3435.01;2383.95;-4.130
3440.28;2384.25;-4.140
3445.26;2384.00;-4.130
3450.25;2383.95;-4.130
3455.24;2383.55;-4.120
3460.22;2383.75;-4.130
3465.21;2383.40;-4.120
3470.20;2383.60;-4.120
3475.18;2383.45;-4.120
3480.17;2383.10;-4.120
3485.16;2383.35;-4.120
3490.15;2383.50;-4.120
3495.13;2383.75;-4.130
3500.12;2383.75;-4.130
3505.11;2383.40;-4.120
3510.09;2383.50;-4.120
3515.08;2383.45;-4.120
3520.07;2383.50;-4.120
3525.05;2383.45;-4.120
3530.04;2383.40;-4.120
3535.03;2383.60;-4.120
3540.01;2383.85;-4.130
3545.00;2383.30;-4.120
3550.59;2383.52;-4.120
3555.58;2383.52;-4.120
3560.56;2383.51;-4.120
3565.55;2383.65;-4.120
3570.54;2383.44;-4.120
3575.52;2383.71;-4.126
3580.51;2383.57;-4.120
3585.50;2383.56;-4.120
3590.49;2383.71;-4.126
3595.47;2383.68;-4.126
3600.46;2383.58;-4.120
3605.45;2383.59;-4.120
3610.43;2383.74;-4.130
3615.42;2383.72;-4.126
3620.41;2383.67;-4.124
3625.39;2383.69;-4.126
3630.38;2383.90;-4.130
3635.37;2383.63;-4.120
3640.35;2383.71;-4.124
3645.34;2383.93;-4.126
3650.29;2383.81;-4.130
3655.26;2384.08;-4.130
3660.25;2383.74;-4.130
3665.23;2383.70;-4.124
3670.22;2383.98;-4.130
3675.21;2383.97;-4.130
3680.20;2384.14;-4.130
3685.18;2383.89;-4.130
3690.17;2384.16;-4.130
3695.16;2383.92;-4.130
3700.14;2383.96;-4.130
3705.13;2383.75;-4.130
3710.12;2384.00;-4.130
3715.10;2383.69;-4.126
3720.09;2384.03;-4.130
3725.08;2384.10;-4.130
3730.07;2383.95;-4.130
3735.05;2384.01;-4.130
3740.04;2384.01;-4.130
3745.03;2383.93;-4.130
3750.01;2384.04;-4.130
3755.00;2384.16;-4.134
3760.27;2384.15;-4.130
3765.26;2384.15;-4.130
3770.25;2384.25;-4.140
3775.23;2383.90;-4.130
3780.22;2384.20;-4.130
3785.21;2384.25;-4.140
3790.19;2384.05;-4.130
3795.18;2384.20;-4.130
3800.17;2384.10;-4.130
3805.15;2384.40;-4.140
3810.14;2384.25;-4.140
3815.12;2384.15;-4.130
3820.05;2384.30;-4.140
3825.27;2384.20;-4.130
3830.24;2384.40;-4.140
3835.19;2384.15;-4.130
3840.17;2384.20;-4.130
3845.16;2384.35;-4.140
3850.13;2384.25;-4.140
3855.06;2384.25;-4.140
3860.26;2384.45;-4.140
3865.22;2384.45;-4.140
3870.19;2383.65;-4.120
3875.14;2384.40;-4.140
3880.13;2384.30;-4.140
3885.09;2384.10;-4.130
3890.04;2384.20;-4.130
3895.03;2384.30;-4.140
3900.57;2384.23;-4.132
3905.21;2384.40;-4.140
3910.16;2384.45;-4.140
3915.10;2384.25;-4.140
3920.08;2384.70;-4.140
3925.04;2384.30;-4.140
3930.60;2384.34;-4.136
3935.59;2384.85;-4.144
3940.57;2384.42;-4.140
3945.56;2384.61;-4.140
3950.54;2384.41;-4.140
3955.53;2384.41;-4.140
3960.52;2384.67;-4.140
3965.51;2384.58;-4.140
3970.49;2384.43;-4.140
3975.48;2384.57;-4.140
3980.47;2384.74;-4.146
3985.45;2384.59;-4.140
3990.44;2384.65;-4.140
3995.43;2384.59;-4.140
4000.41;2384.56;-4.140
4005.40;2384.62;-4.140
4010.39;2384.44;-4.140
4015.37;2384.60;-4.140
4020.36;2384.64;-4.140
4025.35;2384.81;-4.146
4030.33;2384.59;-4.140
4035.26;2384.60;-4.140
4040.19;2384.47;-4.140
4045.18;2384.50;-4.140
4050.40;2384.60;-4.140
4055.38;2384.95;-4.150
4060.37;2384.75;-4.140
4065.35;2384.55;-4.140
4070.34;2384.90;-4.150
4075.27;2384.94;-4.148
4080.25;2384.62;-4.140
4085.19;2384.84;-4.150
4090.17;2384.84;-4.150
4095.11;2384.73;-4.140
4100.09;2384.64;-4.140
4105.03;2384.70;-4.142
4110.01;2384.67;-4.140
4115.28;2384.85;-4.150
4120.26;2384.85;-4.150
4125.25;2384.95;-4.150
4130.23;2384.85;-4.150
4135.22;2384.65;-4.140
4140.16;2384.80;-4.150
4145.14;2384.80;-4.150
4150.13;2383.80;-4.130
4155.11;2384.70;-4.140
4160.10;2385.05;-4.150
4165.09;2384.65;-4.140
4170.08;2384.55;-4.140
4175.06;2384.35;-4.140
4180.05;2384.75;-4.140
4185.02;2384.92;-4.150
4190.23;2384.90;-4.150
4195.18;2384.80;-4.150
4200.16;2384.65;-4.140
4205.15;2384.80;-4.150
4210.14;2384.80;-4.150
4215.13;2384.60;-4.140
4220.11;2384.65;-4.140
4225.10;2385.60;-4.160
4230.09;2384.90;-4.150
4235.07;2384.65;-4.140
4240.06;2384.70;-4.140
4245.04;2384.60;-4.140
4250.03;2384.60;-4.140
4255.02;2384.80;-4.150
4260.00;2384.95;-4.150
4265.59;2384.73;-4.140
4270.58;2384.78;-4.148
4275.56;2384.86;-4.142
4280.55;2384.97;-4.150
4285.19;2384.70;-4.140
4290.15;2385.05;-4.150
4295.14;2384.90;-4.150
4300.13;2384.95;-4.150
4305.11;2384.80;-4.150
4310.10;2384.90;-4.150
4315.08;2384.65;-4.140
4320.07;2384.90;-4.150
4325.06;2384.95;-4.150
4330.04;2384.80;-4.150
4335.03;2384.90;-4.150
4340.02;2384.80;-4.150
4345.00;2384.85;-4.150
4350.59;2384.85;-4.150
4355.55;2384.77;-4.148
4360.51;2384.81;-4.148
4365.50;2384.92;-4.150
4370.48;2384.72;-4.142
4375.47;2384.96;-4.150
4380.46;2385.01;-4.150
